Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  21,0.102,0.108,0.092,0.134,0.110,0.118,0.088,0.082,0.070,0.096,500
Client  22,0.104,0.104,0.088,0.102,0.082,0.108,0.102,0.102,0.104,0.104,500
Client  23,0.096,0.112,0.068,0.108,0.080,0.100,0.094,0.118,0.102,0.122,500
Client  24,0.098,0.110,0.114,0.088,0.118,0.094,0.092,0.100,0.104,0.082,500
Client  25,0.122,0.086,0.096,0.108,0.096,0.114,0.084,0.094,0.102,0.098,500
Client  26,0.100,0.102,0.086,0.110,0.110,0.104,0.106,0.094,0.102,0.086,500
Client  27,0.092,0.104,0.102,0.094,0.110,0.124,0.102,0.090,0.086,0.096,500
Client  28,0.130,0.108,0.084,0.108,0.096,0.108,0.082,0.090,0.094,0.100,500
Client  29,0.104,0.112,0.098,0.126,0.122,0.096,0.096,0.064,0.086,0.096,500
Client  30,0.098,0.092,0.086,0.076,0.086,0.112,0.112,0.124,0.112,0.102,500
Client  31,0.116,0.088,0.088,0.110,0.084,0.110,0.108,0.104,0.100,0.092,500
Client  32,0.094,0.094,0.100,0.074,0.096,0.086,0.126,0.112,0.104,0.114,500
Client  33,0.102,0.116,0.124,0.102,0.116,0.066,0.088,0.104,0.086,0.096,500
Client  34,0.094,0.084,0.108,0.108,0.100,0.086,0.122,0.086,0.112,0.100,500
Client  35,0.110,0.130,0.092,0.106,0.098,0.094,0.112,0.102,0.072,0.084,500
Client  36,0.088,0.100,0.118,0.114,0.084,0.092,0.136,0.088,0.106,0.074,500
Client  37,0.094,0.122,0.102,0.094,0.110,0.126,0.086,0.068,0.118,0.080,500
Client  38,0.128,0.074,0.118,0.086,0.086,0.098,0.134,0.088,0.092,0.096,500
Client  39,0.084,0.092,0.082,0.116,0.118,0.108,0.102,0.098,0.120,0.080,500
Client  40,0.088,0.110,0.114,0.100,0.090,0.116,0.096,0.088,0.100,0.098,500
Client  41,0.108,0.102,0.070,0.098,0.120,0.134,0.076,0.100,0.086,0.106,500
Client  42,0.104,0.102,0.102,0.118,0.090,0.102,0.094,0.082,0.118,0.088,500
Client  43,0.090,0.118,0.098,0.102,0.100,0.092,0.098,0.102,0.112,0.088,500
Client  44,0.098,0.100,0.108,0.098,0.098,0.080,0.110,0.104,0.092,0.112,500
Client  45,0.088,0.118,0.078,0.094,0.084,0.104,0.098,0.092,0.104,0.140,500
Client  46,0.092,0.082,0.102,0.100,0.092,0.110,0.088,0.092,0.118,0.124,500
Client  47,0.112,0.124,0.092,0.080,0.106,0.092,0.100,0.086,0.106,0.102,500
Client  48,0.088,0.096,0.092,0.102,0.080,0.112,0.100,0.112,0.104,0.114,500
Client  49,0.098,0.106,0.086,0.114,0.094,0.104,0.088,0.088,0.098,0.124,500
Client  50,0.086,0.084,0.078,0.126,0.090,0.106,0.122,0.122,0.086,0.100,500
Client  51,0.078,0.100,0.088,0.100,0.098,0.084,0.118,0.116,0.104,0.114,500
Client  52,0.114,0.088,0.098,0.088,0.126,0.106,0.086,0.106,0.074,0.114,500
Client  53,0.094,0.104,0.094,0.112,0.104,0.104,0.096,0.102,0.094,0.096,500
Client  54,0.090,0.114,0.116,0.090,0.098,0.102,0.114,0.116,0.094,0.066,500
Client  55,0.110,0.110,0.108,0.104,0.104,0.096,0.118,0.086,0.078,0.086,500
Client  56,0.084,0.072,0.104,0.082,0.132,0.104,0.104,0.118,0.098,0.102,500
Client  57,0.120,0.116,0.060,0.124,0.072,0.074,0.122,0.100,0.106,0.106,500
Client  58,0.084,0.084,0.104,0.100,0.122,0.094,0.094,0.102,0.118,0.098,500
Client  59,0.094,0.100,0.100,0.106,0.096,0.096,0.110,0.100,0.086,0.112,500
Client  60,0.104,0.112,0.092,0.086,0.088,0.096,0.080,0.092,0.152,0.098,500
Client  61,0.100,0.088,0.108,0.082,0.086,0.096,0.104,0.106,0.104,0.126,500
Client  62,0.106,0.076,0.118,0.092,0.100,0.100,0.126,0.114,0.076,0.092,500
Client  63,0.094,0.074,0.096,0.102,0.112,0.094,0.116,0.082,0.128,0.102,500
Client  64,0.082,0.106,0.104,0.094,0.100,0.106,0.104,0.110,0.090,0.104,500
Client  65,0.106,0.112,0.084,0.084,0.110,0.102,0.120,0.094,0.104,0.084,500
Client  66,0.084,0.092,0.100,0.100,0.080,0.078,0.128,0.114,0.098,0.126,500
Client  67,0.108,0.102,0.098,0.072,0.084,0.118,0.108,0.114,0.084,0.112,500
Client  68,0.102,0.070,0.092,0.100,0.120,0.114,0.116,0.080,0.088,0.118,500
Client  69,0.108,0.108,0.096,0.094,0.092,0.104,0.098,0.108,0.084,0.108,500
Client  70,0.098,0.086,0.106,0.106,0.104,0.118,0.092,0.100,0.080,0.110,500
Client  71,0.100,0.074,0.124,0.080,0.104,0.104,0.104,0.100,0.102,0.108,500
Client  72,0.124,0.122,0.084,0.104,0.086,0.078,0.100,0.120,0.096,0.086,500
Client  73,0.094,0.098,0.102,0.110,0.108,0.116,0.100,0.082,0.100,0.090,500
Client  74,0.084,0.086,0.090,0.106,0.102,0.078,0.100,0.134,0.104,0.116,500
Client  75,0.140,0.094,0.112,0.086,0.068,0.106,0.100,0.106,0.102,0.086,500
Client  76,0.092,0.098,0.094,0.122,0.096,0.094,0.112,0.084,0.124,0.084,500
Client  77,0.084,0.102,0.102,0.136,0.074,0.102,0.116,0.110,0.086,0.088,500
Client  78,0.114,0.108,0.100,0.092,0.112,0.100,0.082,0.088,0.096,0.108,500
Client  79,0.106,0.096,0.096,0.082,0.094,0.082,0.098,0.116,0.134,0.096,500
Client  80,0.102,0.110,0.102,0.110,0.090,0.106,0.092,0.112,0.098,0.078,500
Client  81,0.114,0.080,0.114,0.116,0.096,0.104,0.086,0.100,0.094,0.096,500
Client  82,0.088,0.104,0.116,0.112,0.080,0.108,0.106,0.084,0.102,0.100,500
Client  83,0.082,0.096,0.104,0.116,0.118,0.100,0.102,0.106,0.088,0.088,500
Client  84,0.106,0.094,0.102,0.088,0.106,0.084,0.098,0.108,0.106,0.108,500
Client  85,0.110,0.118,0.072,0.084,0.122,0.084,0.084,0.112,0.128,0.086,500
Client  86,0.122,0.118,0.094,0.088,0.116,0.114,0.058,0.104,0.090,0.096,500
Client  87,0.094,0.084,0.096,0.098,0.108,0.104,0.086,0.130,0.098,0.102,500
Client  88,0.094,0.102,0.090,0.112,0.116,0.084,0.094,0.070,0.104,0.134,500
Client  89,0.110,0.080,0.126,0.110,0.090,0.094,0.084,0.112,0.076,0.118,500
Client  90,0.122,0.086,0.094,0.106,0.102,0.112,0.108,0.096,0.092,0.082,500
Client  91,0.134,0.092,0.122,0.088,0.096,0.086,0.074,0.104,0.102,0.102,500
Client  92,0.108,0.112,0.090,0.108,0.080,0.090,0.104,0.114,0.116,0.078,500
Client  93,0.078,0.112,0.076,0.106,0.118,0.108,0.104,0.074,0.116,0.108,500
Client  94,0.104,0.102,0.088,0.096,0.118,0.112,0.088,0.090,0.106,0.096,500
Client  95,0.098,0.092,0.092,0.088,0.102,0.116,0.120,0.110,0.076,0.106,500
Client  96,0.120,0.126,0.094,0.096,0.106,0.076,0.074,0.094,0.100,0.114,500
Client  97,0.092,0.108,0.126,0.082,0.120,0.124,0.100,0.072,0.080,0.096,500
Client  98,0.090,0.100,0.102,0.122,0.104,0.084,0.114,0.094,0.108,0.082,500
Client  99,0.090,0.104,0.110,0.098,0.102,0.108,0.112,0.090,0.090,0.096,500
